Catégorie,Service,Prestation,Facturation,Option,Supplément 1,Supplément 2,Photo
Conciergerie,Services de sépulture,Entretien des sépultures,de l'heure;par prestation;,client,Forfait frais de déplacement,,
Conciergerie,Services de sépulture,Fleurissement des tombes,de l'heure;par prestation;,client,Forfait frais de déplacement,,
Conciergerie,Services de sépulture,Rénovation des gravures de pierre tombale,par prestation;de l'heure;,client,Forfait frais de déplacement,,
Conciergerie,Services de sépulture,Gravure de tombe,par prestation;de l'heure;,client,Forfait frais de déplacement,,
Maison & travaux,Plomberie,Pose de robinet d'alimentation d'eau,à l'unité;;,client,Forfait frais de déplacement,,
Maison & travaux,Plâtrerie & isolation,Pose placo sur mur incliné,par m2,client,Forfait frais de déplacement,Forfait retrait et livraison,
Maison & travaux,Plâtrerie & isolation,Pose de plaque de plâtre au plafond,par m2,client,Forfait frais de déplacement,Forfait retrait et livraison,
Maison & travaux,Plomberie,Détartrage de cumulus,par prestation;de l'heure;,client,Forfait frais de déplacement,,
Maison,Rangement,Rangement garage,de l'heure;par prestation;,client,Forfait frais de déplacement,,Rangement
Maison,Rangement,Rangement bois de chauffage,au stère;de l'heure;,client,Forfait frais de déplacement,,Rangement
Animaux,Bien-être des animaux,Naturopathe animalier,de l'heure,alfred;client;visio,Forfait frais de déplacement,,Bien-être des animaux
Administratif & conseil,Gestion immobilière,Syndic non professionnel ,au trimestre;à l'année;,alfred;client,Forfait frais de déplacement,,Gestion immobilière
Cours scolaire,Cours culturel,Enseignement culturel,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Beauté & bien-être,Médecine douce,Art thérapie,de l'heure;par prestation;,alfred;client,Forfait frais de déplacement,,
"Vêtements, chaussures & accessoires",Couture & confection,Confection de tapis sur mesure,à l'unité;par m2;,alfred,,,
Jardin & équipements,Aquaponie,Mise en place d'un système d'aquaponie,à l'unité;par m2;,client,,Forfait retrait et livraison,Aquaponie
Jardin & équipements,Aquaponie,Entretien du système d'aquaponie,de l'heure;par prestation;,client,,,Aquaponie
Maison & travaux,Toiture,Démoussage de toit,par m2;de l'heure;,client,,,
Beauté & bien-être,Médecine douce,Gestalthérapie,de l'heure,alfred;client,Forfait frais de déplacement,,
Administratif & conseil,Gestion immobilière,Estimation de bien,à l'unité,client,,,
Administratif & conseil,Gestion immobilière,Réalisation d'état des lieux,par prestation,client,,,
Jardin & équipements,Jardin & potager,Installation d'un système de récupération des eaux de pluie,par prestation;de l'heure;,client,,Forfait retrait et livraison,
Jardin & équipements,Jardin & potager,Installation d'un système d'arrosage automatique,par prestation;de l'heure;,client,,Forfait retrait et livraison,
Auto-Moto-Vélo-Nautique,Entretien voiture,Vérification des kilométrages,à l'unité;par prestation;,alfred;client,Forfait frais de déplacement,,
High tech,Ordinateur,Récupération des données disque dur,par prestation,alfred;client,Forfait frais de déplacement,Forfait retrait et livraison,
Evènementiel,Organisation évènementielle,Création de ballotin dragée,à l'unité,alfred;client,Forfait frais de déplacement,,
Cuisine & vins,Cours d'oenologie & biérologie,Bierologie,de l'heure,alfred;client,Forfait frais de déplacement,,
Auto-Moto-Vélo-Nautique,Dépannage,Remorquage ,par prestation,client,,,
Administratif & conseil,Construction immobilière,Constitution dossier permis de construire,par prestation,alfred;client,Forfait frais de déplacement,,
Maison,Restauration de meubles,Conseil en tapisserie,de l'heure,alfred;client,Forfait frais de déplacement,,
Graphisme,Créations visuelles,Création d'avatar,par prestation,alfred,,,
Graphisme,Créations visuelles,Création de cartes (invitation etc.),par prestation,alfred,,,
Graphisme,Créations visuelles,Retouche de photos,à l'unité,alfred,,,
Graphisme,Créations visuelles,Création d'un cartoon à partir d'une photo,par prestation,alfred,,,
Graphisme,Créations visuelles,Création de cartes de visite,par prestation,alfred,,,
Graphisme,Créations visuelles,Mise en page de portfolio,par prestation,alfred,,,
Graphisme,Créations visuelles,Création d'une illustration ,par prestation,alfred,,,
Graphisme,Créations visuelles,Création de faire-part mariage,par prestation,alfred,,,
Graphisme,Créations visuelles,Création de faire-part naissance,par prestation,alfred,,,
Graphisme,Créations visuelles,Création livre photos,par prestation,alfred,,,
Loisirs créatifs,Coach gaming,Coach FIFA 20,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach Fortnite,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach League of Legends,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach CS GO,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach Dota 2,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach Overwatch,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach Rainbow 6 siege,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach HearthStone,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach PUBG,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach Call of Duty,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach StarCraft 2,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach World of WarCraft,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach Rocket League,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Loisirs créatifs,Coach gaming,Coach Grand Theft Auto,de l'heure,alfred;client;visio,Forfait frais de déplacement,,
Animaux,Garde d’animaux,Garde d'insecte,de l'heure;par jour;,alfred;client,Forfait frais de déplacement,,
Animaux,Garde d’animaux,Garde de tortue,de l'heure;par jour;,alfred;client,Forfait frais de déplacement,,
Animaux,Garde d’animaux,Garde de rongeurs,de l'heure;par jour;,alfred;client,Forfait frais de déplacement,,
Animaux,Garde d’animaux,Garde des équins,de l'heure;par jour;,alfred;client,Forfait frais de déplacement,,
Animaux,Garde d’animaux,Garde de poisson,de l'heure;par jour;,alfred;client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Promenade chien,de l'heure;à l'unité;,client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Visite chat,de l'heure;à l'unité;,client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Visite et soin terrarium ,de l'heure;à l'unité;,client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Visite et entretien vivarium,de l'heure;à l'unité;,client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Visite de tortue,de l'heure;à l'unité;,client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Visite et soin des rongeurs,de l'heure;à l'unité;,client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Visite et promenade des équins,de l'heure;à l'unité;,client,Forfait frais de déplacement,,
Animaux,Visite et promenade d’animaux,Visite et entretien aquarium ,de l'heure;à l'unité;,client,Forfait frais de déplacement,,